id;distances_Q1;distances_Q2;distances_Q3;distances_Q4
1007001; 50751,9250;24630,6748;19092,5509; 23151,48720
1048002; 84832,6656;13061,6666;45894,5849; 26036,26672
1004001; 28368,7914;45241,0926;16777,1995; 46974,45986
1005001; 33391,7677;35473,1630;29941,3184; 39949,78732
1048006;106971,9971;14261,0302;50314,5279; 39172,20231
1043001; 76928,3337;    0,0000;29708,1262; 19352,05386
1003005;     0,0000;21881,8366;59515,8746; 41597,13283
1018006; 21564,9227;    0,0000;37044,0003; 18507,45515
1079004; 33985,7145;21858,3965;17280,1432; 20039,75987
1085002; 47420,5300;32397,7521;    0,0000;  7761,99172
1036006; 31883,1450;29975,6878;26613,6501; 41361,35919
1086001;  4650,1386;18152,1226;    0,0000; 15642,63899
1039005; 60537,9896;    0,0000;12151,3559; 40939,38307
1039006; 53035,7687;21959,6797;36628,4740; 20701,53263
1003001; 12345,5865; 8898,4472;69754,8019; 17359,87093
1003007; 43174,7733;46152,3462;47668,9694;     0,00000
1071002; 87534,3787;47933,2178;18251,8081; 27817,29955
1086002; 68085,7249; 9004,2968;46165,2691; 20437,14022
1086006; 21647,1259; 4371,9895;10270,1349;     0,00000
1085003; 77913,9748;15208,6861; 8890,4297; 27817,71276
1036002; 34710,3301;22750,9861;    0,0000; 12965,15746
1036005; 35001,4318;27276,7922;18090,6599; 19328,03902
1036001; 54017,6451;45367,8743;19992,5314; 41546,34123
1036004; 42384,0574; 7593,6327;11868,5417;     0,00000
1018003; 24511,4582;11219,1044;28154,6030; 11717,19275
1039004; 69186,1657; 7602,0607;18391,1762; 40718,93909
1086003;   217,1061;    0,0000;12274,6257; 27429,24214
1086004; 49240,6494;14409,8291;40862,2784; 11612,63784
1025004; 17346,2497; 2323,1445; 7357,3590; 28936,67561
1085005; 60780,6741;    0,0000;37722,7006; 28599,51446
1085004; 66857,8675;23143,8414;25762,8220; 35181,36498
1036003; 14091,0037;16400,5750;17556,6057; 33388,93501
1058007;100873,9442;43307,4930;17945,0752; 30502,57426
1018005; 47406,8197;11741,9563;40290,1784; 10284,73635
1079003; 48030,1239;62328,9116;13415,5761;     0,00000
1017005;  9763,0550;32592,4949;16715,4339;     0,00000
1001008; 38671,6927;39123,5010;16575,0692; 26619,84089
1038002;  4760,7012;35568,7310;19543,0405; 24844,88480
1001005; 26466,7360;14856,1990;13105,2051;  6651,53874
1038004;  2007,2241;  890,2591;43497,0317;     0,00000
1087005; 25622,4923;41111,0688;35859,6500; 13406,98278
1019003; 49460,8038; 8714,6142;25097,3150; 44734,06141
1063008; 70188,0725;    0,0000;31886,1195; 11284,48064
1063001; 64486,8386;    0,0000;30261,3495; 32667,22088
1016003; 49583,8684;44175,0647;13858,9970; 12861,50019
1063005; 89058,1102;    0,0000;59079,0634; 17931,41111
1015002; 81901,1382; 4174,3420;15601,2547; 47702,56630
1063002; 78671,1439;    0,0000;56517,4917; 18456,81635
1017006; 11714,7202; 1699,9959;    0,0000;  3138,44951
1017007; 18527,8839;33701,8311;    0,0000;  8602,34824
1024006; 20004,9379;18327,4726;71931,9939; 25178,86287
1087006;     0,0000;19181,4150;35735,0569; 10358,83416
1087004; 21266,7819;    0,0000;73317,8116; 13288,34092
1016001; 58144,4319;40419,8099;42382,6996;     0,00000
1016006; 70348,5820;41609,8798;28167,9127; 20496,01475
1001002; 59096,0877;25165,0834;    0,0000; 42101,05692
1087003; 21382,0769;12081,6088;54952,6168;     0,00000
1069001;     0,0000;    0,0000;33322,6808;     0,00000
1001009; 33919,2786; 3283,3386; 8234,7454; 14220,31160
1069005; 28598,5186;    0,0000;10897,0671; 15269,10858
1071006; 65891,6389;    0,0000;    0,0000; 21252,05567
1001003; 51887,9790;17008,7113;  492,3135; 32029,07354
1001007; 78022,2512; 5737,5947; 1891,8907; 30271,96223
1071005;101061,1343; 5600,5730;22232,0750; 16573,79710
1023005; 43835,1832;27779,8351;47981,0644; 41662,69078
1023002; 50165,6535;47764,7658;57566,5741; 22961,26656
1023007; 59378,3316;52033,8437;41358,9842; 35298,26205
1063006; 15107,8344;42770,1701;76426,5131; 17644,26659
1069004;  9508,0163;    0,0000;23131,3827;     0,00000
1001004; 52162,3332;28196,7528;44212,2309;  5353,41298
1001006; 70462,9727;27123,9265;17229,4351; 22679,13599
1087001; 48439,7868; 7125,2498;64487,5571; 14973,50478
1087002; 64684,6312;26227,2236;52889,6783; 28769,22111
1023003; 18035,0613;36966,3474;45490,2479; 57420,73378
1023001; 36341,1221;48036,2663;70972,0518; 52812,91653
1069003; 39754,5602;12701,7599;    0,0000; 26130,64943
1003004; 70774,7026;38796,0108;29291,6575; 20731,72336
1003002; 57834,4353;13262,5647;19735,6397;     0,00000
1003006; 10066,9299;37893,9391;69064,4348; 13916,49569
1071007; 72839,5378;25619,4233;16667,8875; 37916,84546
1041001;     0,0000;11018,9634;46202,9825;     0,00000
1041002;  3412,4753;10916,0062;53802,5794; 10123,93625
1068002;     0,0000;31424,7384; 5770,6962; 28664,05118
1070006; 12967,8533;    0,0000;44421,1059; 12339,27188
1070001; 34473,0500; 2014,6795;22324,8417; 27899,13662
1053001; 98220,4570;    0,0000;31071,4734; 11925,47197
1053004;113808,8022;22168,0445;13097,1926; 19067,37834
1072007; 88265,8792;20261,4669;37343,4876; 18514,82605
1049003; 83466,9377;11235,3844;43707,9478;  9555,24838
1072004; 66773,7276;39150,0908;40050,5692; 15954,01644
1037002;  5726,7793; 8242,0257;57834,4070;  8534,09316
1072001; 39977,8205;29980,7104;43823,3324; 20539,04753
1041004; 10211,2145;    0,0000; 7163,5660; 19921,22900
1070004;  3832,1815;10490,4151;39102,8016; 40908,46196
1088008; 10070,8160;22015,7477;10764,9029; 25341,56209
1088002; 14605,9300;14281,6412;10383,7178; 49856,80039
1070003; 17532,5636;15750,6571;27112,3203; 51026,61648
1088004; 38119,1347;17191,1472;32954,5077; 54634,08767
1052005; 55202,9763;15292,3023;    0,0000; 32769,82685
1021003;105516,8072;19158,0447;28275,9246; 35685,99153
1035004; 80116,9449;33600,9041;10121,4426; 15908,21854
1044003; 52364,2964;37252,1851;34128,9033; 34620,50460
1035001; 56546,9513;40782,9477;29436,6787;  5728,94966
1044002; 30061,8197;39374,4451;37960,6513; 23834,10083
1044005;     0,0000;42239,7537;    0,0000; 30168,13260
1049006; 85758,0262; 9001,0611;31913,8285; 14960,44128
1041006;  7226,4397;    0,0000;70244,2692; 17464,79707
1053002; 98094,3435; 9579,8104;16578,2495; 16393,18940
1053005;117848,8824;14000,3005;13510,2723;     0,00000
